date,100_pct_voo,95_5,90_10,80_20,70_30,100_pct_momentum,100_pct_vti
2012-08-27,118332.3248,117456.6232,116577.8982,114812.0379,113036.0574,100428.2962,118107.0716
2012-08-28,118222.6882,117360.8350,116495.7661,114756.6370,113006.6064,100558.1885,118090.7042
2012-08-29,118332.3248,117447.9417,116560.6602,114778.0652,112985.8588,100279.0530,118237.8447
2012-08-30,117436.9780,116602.2871,115764.0701,114077.7040,112379.1675,100254.5989,117354.9856
2012-08-31,118058.2819,117242.0260,116421.8968,114770.6604,113105.8530,101177.9437,118058.0168
2012-09-04,117747.6078,116944.3685,116137.1139,114511.1955,112871.1219,101099.2779,117976.3221
2012-09-05,117747.6078,116926.2807,116101.1882,114440.3500,112766.3757,100786.5388,117976.3221
2012-09-06,120196.0771,119239.3407,118280.4305,116356.7886,114426.5403,100842.3771,120330.5709
2012-09-07,120689.4819,119685.2130,118679.4626,116664.2290,114645.1902,100518.7850,120919.1726
2012-09-10,119976.8747,118986.9409,117995.3932,116008.1620,114016.5805,100066.4636,120199.8056
2012-09-11,120305.7492,119271.8787,118237.0770,116165.3933,114092.1102,99647.3988,120461.3756
2012-09-12,120689.4819,119600.2048,118510.8977,116332.9127,114156.9479,99094.5353,120968.1562
2012-09-13,122608.0747,121430.4742,120254.1366,117905.9796,115565.0401,99493.1761,122782.9449
2012-09-14,123119.6711,121849.1129,120581.5287,118056.0018,115544.5012,98465.5587,123436.9371
2012-09-17,122754.2717,121545.8379,120339.1553,117931.7791,115533.5899,99116.4336,122930.0933
2012-09-18,122626.3549,121444.2852,120263.4663,117906.3209,115556.3755,99422.5909,122717.5623
2012-09-19,122717.6936,121556.8904,120396.9081,118080.1507,115768.8869,99859.2650,122815.6718
2012-09-20,122699.4666,121545.0505,120391.3367,118086.7604,115787.2050,99946.5416,122652.1164
2012-09-21,122626.3549,121472.8291,120320.0014,118017.1840,115719.3693,99890.3174,122684.8591
2012-09-24,122466.5386,121331.7004,120197.2331,117930.1561,115666.7763,100042.7527,122412.1245
2012-09-25,121217.6394,120149.7468,119081.1860,116942.7997,114803.9444,99935.6675,121163.5766
2012-09-26,120446.3106,119436.8226,118425.7527,116399.6001,114369.3062,100158.2922,120358.5140
2012-09-27,121621.7347,120557.4124,119492.2544,117360.1772,115226.9801,100381.2875,121557.8095
2012-09-28,121070.7424,120017.8950,118964.0978,116854.3975,114743.1113,100037.3132,120999.2305
2012-10-01,121291.1500,120224.0791,119156.2729,117019.1999,114881.4044,100014.2717,121212.8290
2012-10-02,121456.4069,120384.2564,119311.4340,117164.5200,115017.1405,100090.2143,121393.5188
2012-10-03,121952.2839,120871.3051,119789.7310,117625.5465,115461.2123,100424.8452,121837.1306
2012-10-04,122888.9848,121725.9847,120563.7039,118242.0586,115925.5426,99971.2295,122757.1129
2012-10-05,122852.2739,121635.9607,120421.3915,117998.2374,115584.2913,99059.9590,122724.2674
2012-10-08,122484.9251,121287.7856,120092.0746,117705.6913,115327.2574,99016.8145,122247.8733
2012-10-09,121291.1500,120111.0157,118932.1908,116579.2157,114233.6946,98138.9162,121015.6928
2012-10-10,120464.6085,119339.6822,118215.1304,115967.8997,113724.3938,98240.9007,120309.2142
2012-10-11,120538.1013,119420.5118,118303.1459,116069.8348,113839.6481,98432.9284,120489.9276
2012-10-12,120115.7170,119029.2607,117942.5178,115768.9213,113596.4064,98536.6780,119964.2258
